State,Provider Name,Total Score
TX,ADVOCATE HOME CARE,778
CA,ALLIED HOME HEALTH CARE CORPORATION,777
FL,CORPAS HOME HEALTH CARE LLC,777
NY,HHC HEALTH AND HOME CARE,777
OH,ABC HEALTH CARE INC,776
TX,1ST AMERICAN CHOICE HOME HEALTH CARE SERVICES LLC,776
FL,PROVIDENCE HOME CARE OF FLORIDA,775
OH,"UNIQUE HEALTH CARE SOLUTIONS, LLC",774
FL,INTERIM HEALTHCARE OF LEESBURG,773
CA,NOVA HOME HEALTH INC,772
DC,"PREMIUM SELECT HOME CARE, INC",772
OH,CENTRAL OHIO HOME HELP AGENCY,772
CA,AMITY HOME HEALTH CARE INC,771
TX,COMPASSIONATE HEALTHCARE SERVICES INC,770
CT,BROOKDALE HOME HEALTH HARTFORD,769
MI,FAMILY FIRST HOME CARE,768
MN,HENNEPIN HOME HEALTH CARE INC,767
AL,CV HOME HEALTH OF BIBB COUNTY,766
FL,"PRO-HEALTH NURSING SERVICES, INC.",765
CA,"PRESTIGIOUS HOME HEALTH, INC",764
FL,MEDICAL SERVICES OF AMERICA HOME HEALTH,764
GA,"CENTRAL HH CARE, AN AMEDISYS COMPANY",764
CA,PRISTINE HOME HEALTH INC,763
IL,"AT HOMEHEALTH, INC",763
AZ,"ST. ELIZABETH HOME HEALTH, INC.",761
TX,GRACE HOME HEALTH INC,761
CA,HAPPY HOME HEALTH SERVICES,760
FL,"RELIANCE HOME HEALTH CARE, LLC",760
MI,CRYSTAL HOME HEALTHCARE,760
NM,"SOUTHWESTERN HOME HEALTH CARE, INC",759
IA,"OPTIMAE HOME HEALTH SERVICES, CENTRAL IOWA",758
CA,ALL CARE HOME HEALTH,757
IL,"STAR HOME HEALTH SERVICES, INC",756
MA,"BOSTON HOME HEALTH AIDES, LLC",756
CA,"HEALTHWAYS HOME HEALTH SERVICES, INC",755
CA,"HOLISTIC CARE AT HOME, INC",755
CO,BROOKDALE HOME HEALTH DENVER,754
TX,ALTRUIST HOME HEALTH CARE INC,754
VA,REVIVAL HOMECARE AGENCY,754
MD,"PHR OF BALTIMORE, INC",753
OH,CONSTANT CARE HOME HEALTH SERVICES LLC,752
DC,"IDEAL NURSING SERVICES, INC.",745
CT,PRIMARY PREVENTION HOME CARE LLC,744
PA,MULTI CARE HOME HEALTH AGENCY INC,744
IN,ANCHOR HOME HEALTH CARE,742
NY,PERSONAL TOUCH HOME AIDES OF NEW YORK INC,742
TX,TRIPPLE C HEALTH SYSTEMS INC,742
FL,MDT HOME HEALTH CARE AGENCY INC,740
NY,FAMILY CARE CERTIFIED SERVICES CHHA  (BROOKLYN),740
OH,ENCOMPASS HOME HEALTH OF OHIO,740
IN,AT HOME QUALITY CARE,738
CA,"NURSES TOUCH HOME HEALTH PROVIDER, INC",737
CA,SUMMIT HOME HEALTH INC,737
NY,REVIVAL HOME HEALTH CARE,737
FL,AGING 50 HOME HEALTH,736
CA,"COMCARE HOME HEALTH, INC",735
NY,"PRIME HOME HEALTH SERVICES, LLC",735
AZ,"ARIZONA HOME HEALTH, LLC",733
MA,PRESIDENTIAL HOME HEALTH CARE LLC,732
NY,FAMILY CARE CERTIFIED SERVICES (HEMPSTEAD),732
MN,BEST CARE HOME HEALTH INC,731
MN,REGENCY HOME HEALTHCARE SRVCS,731
MA,ALLIED HEALTH SYSTEMS LLC,730
AZ,"AVANZAR HOME HEALTH CARE, LLC",729
IL,"JN FAMILY HOME HEALTHCARE SERVICES, INC",729
MI,THE MEDICAL TEAM,729
CA,ALPHA PLUS HOME HEALTH SERVICES,728
WI,MIRACLE HOME HEALTH OF WISCONSIN,727
FL,SOUTHEAST HOMECARE,726
MA,NIZHONI HEALTH SYSTEMS,726
NY,FOUR SEASONS NURSING & REHABILITATION CHHA,724
CT,HOPE HOME HEALTH AGENCY INC,723
IL,"CARE CHOICE HOME HEALTH, INC",723
MA,BLUE HILLS THERAPEUTICS INC,723
TX,CHOICE HOMECARE,723
FL,ADVANCE CARE HOME HEALTH AGENCY INC,721
VA,"DIAMOND HOME HEALTHCARE, INC",720
NY,CENTERS HOME HEALTH REVIVAL  (BRONX),719
NY,RIVERSPRING CHHA / ELDERSERVE CHHA,716
TX,GUARDIAN ANGELS AT HOME CARE INC,715
NY,"ROYAL CARE CERTIFIED HOME HEALTH CARE, LLC",714
FL,"BEE WELL HOME HEALTH CARE, INC",713
PR,ASSOCIACION DE ENFERMERIA VISITANTES,713
FL,HOMEREACH LLC,711
CA,"ZELOMARA PLUS HOME HEALTH, INC",710
DC,BERHAN HOME HEALTH CARE AGENCY INC,708
FL,SERENITY HOME HEALTH CARE INC,706
NY,"THE NEW JEWISH HOME, HOME CARE  (CHHA)",704
NY,"AMERICARE CERTIFIED SPECIAL SERVICES, INC CHHA",703
NY,CENTERLIGHT CERTIFIED HOME HEALTH AGENCY,702
CO,ELITE HOME HEALTH CARE,699
NY,"AMBER COURT AT HOME, LLC",697
AZ,"RELIABLE NURSES, LLC",685
PA,ANGELS ON CALL HEALTH,684
CA,"GREEN PINE HOME HEALTHCARE SERVICES, INC",683
IN,LARRIS-IFY HOME CARE,678
FL,QUALITY LIFE HOME HEALTH AGENCY CORP,665
WI,"RECOVER HEALTH OF WISCONSIN, INC",617
OH,CARE PLUS HOME HEALTHCARE LLC,572
MA,MAXIM HEALTHCARE SERVICES,549
